outcome,on last GSS year,on last GSS year,on last GSS year,on last GSS year,on last GSS year,on last GSS year,on last GSS year,on last GSS year,"on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year",article_id
group,propSig,paramSizesNormed,Rs,adjRs,pvalues,propSig_CentralVars,paramSizesNormed_CentralVars,pvalues_CentralVars,propSig,paramSizesNormed,Rs,adjRs,pvalues,propSig_CentralVars,paramSizesNormed_CentralVars,pvalues_CentralVars,
,,,,,,,,,,,,,,,,,
15,0.7037037037037037,0.40703839491006283,0.1965017963377681,0.18143620501910118,0.1324751665474887,0.72,0.43433140822496585,0.1283337295896838,0.7037037037037037,0.34180973641889745,0.13553428660353595,0.12279379846941763,0.1472830741667873,0.68,0.36000167735268984,0.10788162917494361,3323
16,0.4074074074074074,0.26604917276001633,0.10628423034890355,0.0895270596679455,0.2232194914213983,0.4,0.28123783218367027,0.2020935212856246,0.4444444444444444,0.2553304973545425,0.06616988424740744,0.052407104157167206,0.28023023496062877,0.4,0.20873067990480054,0.3021442129207421,3323
17,0.5555555555555556,0.33389773228110553,0.1269419607343928,0.11057212249816262,0.08319656079234397,0.52,0.3554631058495715,0.08787818368041134,0.6296296296296297,0.281816006234254,0.12601070101165157,0.11312985435625555,0.11033607085772472,0.64,0.28932538903682786,0.0645525134681431,3323
18,0.1111111111111111,0.15038132976018748,0.2226671189485313,0.20809212742881622,0.491072563351918,0.12,0.1618326166720422,0.4675942936661286,0.25925925925925924,0.18399100757066525,0.12616983370501034,0.1132913323458592,0.3567978274554087,0.24,0.16554368123922772,0.31958984587886385,3323
19,0.5925925925925926,0.3349994524338011,0.13882185657006196,0.12267476638075059,0.14158087578254136,0.6,0.35777287062349084,0.11975573918098961,0.6666666666666666,0.329399029006801,0.12410429112755161,0.11119534781993357,0.1227544334069553,0.64,0.3139068883673738,0.10076723242866707,3323
20,0.3157894736842105,0.17364657669522368,0.08405572913340664,0.07258378375010721,0.2815692445438659,0.7142857142857143,0.2591095138378373,0.16275578487056014,0.21052631578947367,0.1194624940267007,0.062214473399755055,0.04903553478629019,0.4114808138018217,0.2857142857142857,0.18573189941535925,0.13583014678968908,6439
21,0.21052631578947367,0.16935572972526702,0.08350591531236196,0.07202708366498878,0.31630338210694015,0.42857142857142855,0.247157472036705,0.2266037638908984,0.10526315789473684,0.12482172535907293,0.06834787287264343,0.055255128482540106,0.37426671416272667,0.2857142857142857,0.17457187584549724,0.15910789024177094,6439
22,0.2631578947368421,0.14184710438766848,0.07614556588070476,0.06457454791876238,0.38180070191189025,0.5714285714285714,0.19268277105391338,0.24421302634675812,0.05263157894736842,0.10189510398623558,0.04197328044977722,0.028509887201660256,0.4381797858408812,0.14285714285714285,0.10902612112362875,0.30006590488100476,6439
23,0.3157894736842105,0.16830400816059146,0.08306510962092539,0.07158075700576227,0.3473671875054563,0.5714285714285714,0.2488467794113722,0.1800220737709281,0.2631578947368421,0.13614722260637482,0.06597331008556051,0.05284719536043159,0.37079641417529163,0.5714285714285714,0.1841954862140793,0.17017164805446758,6439
24,0.21052631578947367,0.12454396869036802,0.06026202867767583,0.048492073862168805,0.43487111748820134,0.14285714285714285,0.1568657360367185,0.3865054338439529,0.2631578947368421,0.12249437051647781,0.06706545922368412,0.053954692748277355,0.4271411307849562,0.2857142857142857,0.14400385438574884,0.32594846564501323,6439
