,Rs,adjRs,Intercept,C(RACE)[T.2.0],C(RACE)[T.3.0],C(SEX)[T.2.0],C(MARITAL)[T.2.0],C(MARITAL)[T.3.0],C(MARITAL)[T.4.0],C(MARITAL)[T.5.0],C(REGION)[T.2.0],C(REGION)[T.3.0],C(REGION)[T.4.0],C(REGION)[T.5.0],C(REGION)[T.6.0],C(REGION)[T.7.0],C(REGION)[T.8.0],C(REGION)[T.9.0],C(VOTE72)[T.2.0],C(VOTE72)[T.3.0],C(VOTE72)[T.4.0],C(VOTE72)[T.6.0],AGE,PRESTIGE,EDUC,HEALTH,ATTEND,INCOME
HAPPY,0.19242136308917057,0.17876137261368286,1.603418889946204,0.2703871519358502,0.14943599787815084,-0.08308354963237209,0.400968048263218,0.42255435392057467,0.358355378979475,0.14240481924152867,-0.012905853451831584,-0.03681381206528022,-0.14083874950660277,-0.07457670739710896,-0.06180148678744204,-0.0738965735304672,-0.008082547997576376,0.04449953226091289,0.06031862319204005,-0.07770640619459941,0.16281948893109194,0.05438773047913558,-0.005862811747772345,0.00039637167683404884,0.013393275646759408,0.1962706639799311,-0.01688997542398496,-0.01651758045989105
SATCITY,0.14847946872515805,0.13407621210684206,4.271846211944562,0.8162578998511152,0.3646276606420225,-0.19626388534586983,0.11147241126532256,-0.21174488633227698,0.47407387743764556,-0.018409255971963624,-0.3124286916547441,-0.16474496254136453,-0.6282132617737598,-0.5469881135057706,-0.6381093065135541,-0.3632989298795409,-0.4373661117333455,-0.3596058994845652,0.04151018033521601,-0.019094687270986014,0.2204135318525902,2.8758911462524583,-0.024768083739895492,-0.004559387474166344,0.02373579014034531,0.2034904823845571,-0.057801670360808126,-0.029554966114786634
SATHOBBY,0.11097217026912265,0.09593448708693597,3.3261435006360016,0.5256531557787183,0.47765551628113834,0.04379879351366474,0.11743433272883806,-0.13112552530324142,0.1678430389398624,-0.06477465636328007,-0.06664831131205246,-0.144782489146023,-0.336340470837632,-0.15204542693433007,-0.2357090234924279,-0.302903534567464,-0.5686993276710566,-0.40017174809028433,0.41658626305026963,0.2929367669260052,0.9260885909242758,-1.1602045050122078,-0.007262052227888219,0.0013847135572673552,-0.035738732289387974,0.3002782276704804,-0.02644345102795989,-0.05054187936461543
SATFAM,0.22187883636157468,0.20871711167215612,1.6892205801875348,0.363592100822616,0.48068729266614657,-0.06887334260865842,0.8658973278510023,1.156301427294271,1.8802049247530104,1.020890576973612,-0.024847516446605766,0.06768795396131484,0.02948795264666382,0.038663455066183086,-0.12804793265927294,-0.15471384642767508,0.3031195354824702,0.06975227544515135,0.13615757104765694,0.24197830479898844,0.6942110083089786,-1.2757513814587358,0.0030183623315519523,-0.001286572775104752,-0.005092221774947171,0.1442199287284363,-0.030435382863574684,-0.0214992616023212
SATFRND,0.10179210460965726,0.08659914291496262,2.7662071983572605,0.4908907403206648,0.0432232184770118,-0.20875936468781697,0.07197938067029512,0.23331368738985836,0.596693036533406,0.0024228306592667132,-0.20317122202841306,-0.14613209758355086,-0.14099651701924112,-0.26221990960590047,-0.5823808036078211,-0.26698141166515565,-0.28320366476613046,-0.1989297290848805,0.19860455366687488,0.4892865535643056,-0.051962042154891225,-0.8098534067792441,-0.00961540998241946,0.002564936841362758,-0.02191680036869049,0.21209203370072774,-0.018974863143978705,-0.019450188999551997
SATFIN,0.140153833231504,0.12560975057303825,2.889298922978108,0.12666187736690193,0.3447930623360862,-0.07237954322619612,0.00934580865222846,0.19969280658749386,0.1777285283985885,-0.21296947123722493,-0.11640893855398961,-0.19056521222430128,-0.1964729584170345,-0.3196058065570724,-0.2608618168378675,-0.21203420903763184,-0.09142342170017247,-0.15092948742615442,0.04221282062657808,-0.09336254877982468,-0.054661253476790995,-0.09951328497842042,-0.01031729410147862,-0.0008059911623066445,0.004999754928799073,0.09615441542586334,-0.023707646613836994,-0.0558205593657679
