,Rs,adjRs,Intercept,C(SEX)[T.2.0],BABIES,AGE,INCOME,ATTEND,FEPRESCH,FECHLD,FEFAM
HAPPY,0.06058615340440954,0.05564512068069827,2.331302730021583,-0.008900170372765845,-0.004776503727907082,-0.0029959512977327804,-0.042772092772823435,-0.03324204133693374,-0.010446590237480766,0.03555461193830761,0.0028366230920028592
LIFE,0.09222953923503951,0.08745494115080554,2.0129348142844705,0.058477558139074994,0.029206425849086448,0.003727464803818232,-0.038996321162544555,-0.0343467839596956,-0.024537967469627515,0.015553338619149013,-0.051457028540688864
SATJOB,0.05112670003434139,0.04613591344675072,2.191473407367876,-0.0039906367123634595,0.019907672232697335,-0.006619466418571893,-0.025601467925148627,-0.02854591387615801,-0.017737271197089153,0.030697231058230978,0.033714436280066165
HAPMAR,0.030966219655842453,0.025869395038647602,1.4762671122675495,0.07565166324722787,0.028704673576450044,-0.00030381818418659054,-0.007872151621993971,-0.021564014147581703,-0.019421447096412876,-0.0024786804466121496,0.032011144967757886
SATFAM,0.07224148389568497,0.06736175468540573,2.9240043291607005,-0.07780702934704523,-0.21221251050880494,-0.0028593294816067114,-0.07965930979225372,-0.0820054053760943,-0.013490053211211602,0.1057773601965258,0.059545477747213006
SATFRND,0.04390204682222565,0.03887326074371,2.6298552738655894,0.020521418681718414,0.09256796721633298,-0.005025925659326467,-0.04669885067439124,-0.057307113338349716,0.08095299861292696,0.14918697444201248,-0.05707389037501738
