,Rs,adjRs,Intercept,C(RACE)[T.2.0],C(RACE)[T.3.0],C(SEX)[T.2.0],C(MARITAL)[T.2.0],C(MARITAL)[T.3.0],C(MARITAL)[T.4.0],C(MARITAL)[T.5.0],C(REGION)[T.2.0],C(REGION)[T.3.0],C(REGION)[T.4.0],C(REGION)[T.5.0],C(REGION)[T.6.0],C(REGION)[T.7.0],C(REGION)[T.8.0],C(REGION)[T.9.0],CHILDS,AGE,INCOME,DWELLING,EDUC,RACDIS,SIZE,DWELOWN,RES16,PRESTG80
FEPOL,0.06189612722222626,0.04705271151371715,1.8004543665733246,0.062820972218661,-0.02880106366197069,0.01756526237948073,-0.04693512202711989,0.06935637318813778,0.024441388439266527,0.03158953555009783,-0.00637132488130086,-0.06166388227829982,-0.08129530354018819,-0.0802120674806981,-0.10976653530554507,-0.07522100217982675,-0.06470259655425743,-0.038529418797096704,0.005670906358593334,-0.002640393625450459,-0.00016635841850542966,0.004615984186767847,0.006288098912312244,0.007239248217537307,-1.243523046632773e-05,-0.025436066030816273,0.0011234942499172423,0.0013096265008482155
NATSOC,0.1284369863520185,0.11464643233860095,0.6285224485969058,-0.15722599861067976,-0.06758567080523119,-0.09076553575307404,-0.03654242412721514,-0.08571169138109538,-0.058724989617318875,0.037493161548288516,0.0412903801779235,0.11237118687392972,0.22261800338677373,-0.012193765204923155,-0.01851580991407693,-0.01888218776565355,0.040067761990293355,0.1512742904299178,0.004375312294257397,0.0048237786843448515,0.0030092966501863326,-0.008923078343517537,0.03631107778108589,-0.0015907321068242548,-1.7671345037457767e-05,0.024073859290638693,0.019633800990538335,0.004728928001938824
NATHEAL,0.03441524175761712,0.019137001912009732,1.1568425587813587,-0.031160901616228802,-0.010277565713724563,-0.05458999199357118,-0.10488545752066172,-0.025915554712795243,0.010723304249738457,-0.002837187927740005,-0.022569446071709378,0.03845983546468,-0.00035807650862202875,0.015260374970231928,0.03905051169501031,0.02177210609872673,-0.01786522775489023,0.013566009296011674,0.015437565507063248,0.0018940955194156545,-0.00813254651536021,-0.003922455905966414,0.004761488608822282,0.045675754080801594,-2.714006441758229e-06,-0.012833231834994447,0.002269402829244006,0.0015276951436713302
NATENVIR,0.05371917564711903,0.03874637779343415,1.2105633765622221,-0.034834223100321055,0.014438607134091572,-0.026842501803660133,-0.037761554388506244,-0.003336989682613615,0.11311792739296253,0.017337031783735732,0.08020029183114354,0.12351889101960703,0.1014423558823455,0.06282908467890556,0.16806330965265517,0.1593414780953425,0.1435254380769669,0.12043120217476973,0.004329218083925144,0.0050779821200454085,-0.004008557078957428,-0.004083729136518748,-0.007082046592077912,0.024302987992706478,1.0943710300277426e-05,0.01572158171604993,0.0005576920182407549,0.0010257829218003611
NATEDUC,0.03768235451356439,0.022455809490044776,1.3490537951127073,-0.0697663101077567,0.02025392185010395,-0.000986270465336226,-0.10488325743408089,-0.0324084948220969,0.008928468984384886,0.012609732017463834,0.08049307415559893,0.11094996907872937,0.03467901353311843,0.04254766078129459,0.11566145836137309,0.07667525026953786,0.06569269846831807,0.05631403661643803,-0.00016081729133447938,0.0035628607814992322,-0.012226629476175303,-0.0004139632003692011,0.0012609353254295478,0.007860070874742003,-1.9219653861430847e-05,-0.03261120342144473,-0.002897012493456982,-0.0007348036646307106
NATFARE,0.044832271377136856,0.029718857949559863,2.245914760865923,-0.08180950713906747,-0.09478133230391712,-0.0009648912429436234,-0.0982438536085257,0.009812981972517362,0.01764746841184496,-0.0388084829959135,-0.11551333502336616,-0.07587385904718842,-0.12306451781064479,-0.03337288806562884,-0.025549066303991938,-0.031923538254093005,-0.30020644822569276,-0.05993857022606415,0.0004854789128439197,0.0010597294393482053,0.024533532115953036,0.0033149270091997855,-0.0073145079043325355,-0.009565002736119032,-1.0443164679257067e-05,-0.021661781665813517,0.008498590540112533,0.0013043525990485724
NATCITY,0.03279989658848281,0.017496097483870154,1.7780454003607769,-0.10125407617192723,-0.09196622104792557,0.00549440853706148,-0.03876202487933914,-0.062891838132213,0.011638287544912338,-0.09692041306031118,0.012139826454576468,0.0068106212795063376,0.0037871824447185815,0.026454473430664788,0.03402092498254785,-0.018593628388823398,-0.08200207742978391,-0.020042958148432554,-0.009624582922546577,0.0012981931731566203,-0.008835072782607227,-0.004468850110279743,-0.008955336767623303,-0.011336851337616848,-5.1493744299850185e-06,-0.0027398562582515726,-0.013927895495943327,0.0007757606358096533
NATRACE,0.08874443800530962,0.07432583734083664,1.7875549501527896,-0.33683091809268184,-0.126157986442277,-0.019503117438370035,-0.05379491068183331,0.007836296710660252,0.02520273160969554,0.01375421569598352,0.11049685582092302,0.1694215425407626,0.13599998697787308,0.1921066939678361,0.2291506953642064,0.24914761371471247,0.074223856048171,0.13364363406495675,0.0008176783315127943,0.0019089980371143718,0.0003950153143433451,-0.009252655833645403,-0.011324798477464038,-0.0015091076384315019,-2.705816258411154e-06,-0.016690984744932365,-0.016898284954982405,0.001211515462925928
CHINA,0.03877204151251612,0.023562738371891268,3.6242278176230305,-0.3498601984949836,-0.3280639776811458,-0.3160406654691903,-0.1138782769654554,0.22650062996347528,0.25159474963256007,-0.03284341273086466,0.4185205837144274,0.6177434623084215,0.7469412676277258,0.608760488146486,0.7012218319861299,0.8661303632918291,0.3962161157809505,0.6752026471355538,-0.005062385058642623,0.0074938723269105416,0.04174963834573822,-0.021988536534523637,0.008099917727462241,-0.2020804863149854,1.1488291764103082e-05,-0.08380082460263799,0.010960890354332311,0.004520819128970302
RUSSIA,0.036146920326078025,0.020896080457819655,4.12210002801267,0.22672951540483877,0.3308558498047322,0.15173483581572383,-0.042093217403287385,0.17189453828661916,-0.16564867533397906,-0.052406674199986354,0.3738420287016224,0.5982504310619937,0.6015061608119865,0.5672328405822935,0.690188579143979,0.44495451655387896,-0.17497166967610644,0.36179108823418,0.021079551644500667,-0.0014699542411835032,0.009664237396008165,-0.025931830401694698,-0.06340884157313163,0.001970682010083466,3.0468848295694093e-05,0.1318077066387285,-0.036887591804912204,0.0014822806590365936
COMMUN,0.04931682999162901,0.03427437476997752,1.998927250541129,0.18332311663267362,-0.03348249839387257,-0.09219852498691128,0.045493499500603725,0.007966058292383598,0.1621758859052585,0.030911263590621713,0.0685748060414034,-0.00534343908223947,-0.004030776784370336,-0.048553737764963245,-0.03254577774523469,0.002575412395326374,0.14678507363320117,0.021285351567943877,-0.003885404711115669,-0.0038189126794150752,-0.018910154190249658,-0.008438411264818117,0.01080619527711323,-0.03479897316000675,6.741725839829275e-06,-0.018830462840822775,0.018684108284528933,0.00014129278740223814
PRES92,0.08903337624816943,0.07461934739133658,2.224243608898469,-0.5026233168019462,-0.13206693636182767,-0.11876247441230235,-0.015400774217563744,0.01607746545324799,0.19168245872258152,-0.009411165717170057,0.08422929151600972,0.013977120433896538,0.11713335683577886,0.010499421150056422,-0.02623880804305104,0.07603518805422033,-0.020277592363859717,-0.032254073719962306,0.015321141769155049,-0.003817921933140708,-0.002539127368058845,-0.0052082582719982125,-0.009671460811874463,-0.014052575797286478,-3.148528829089849e-05,-0.058489638714331785,0.011719694070151873,0.0009698615180571124
NATPARK,0.06809341788402601,0.053348060572064315,1.3335177434782959,-0.10925215290572134,-0.01769503566627368,0.033730876716693795,-0.15508418362032902,-0.006657988481683705,0.20199982500300076,-0.013664075301925835,0.12633021758781068,0.2589513542239661,0.34771626285613905,0.2221668062578069,0.2625557819321167,0.28548534735249875,0.15453284521957658,0.16370756602197745,-0.021649651536827342,0.006087631854793048,0.005088854337879406,-0.009465864926042402,-0.0028201556071743585,-0.000207887722410484,-1.0075530673959517e-05,-0.03270761711232779,-0.01653297062447703,0.0020438138276143714
NATCRIME,0.029157575303582983,0.013796144533069987,1.3894566156512798,0.0026704686378256357,0.01074750715723429,-0.08282558608478888,-0.029583979018425337,-0.026206775009397002,0.04131316113267321,0.008113623921208925,-0.0034253083813043303,0.010208303144460704,-0.08317739526854068,-8.193966184747868e-05,-0.005942174067441336,0.012443182018475689,0.11807422961482913,-0.005013214229015609,0.011778136615029505,0.00029958873332238295,-0.005263207531338349,0.002233038122305732,-0.0018982244582800407,0.0019867349172822835,-2.0236889967422458e-05,-0.006280265781226639,-0.0056426027022895495,0.0010081386573055802
NATDRUG,0.02370004117277047,0.008252257014111697,1.402429857082566,-0.09741304091050794,-0.013640488229334516,-0.05261097087885853,0.004916856961398368,0.0005177797710183406,0.03886149278333504,0.006465573906546606,-0.01121584194426034,0.03435929990610597,-0.014707927092920528,0.1042310670453056,-0.05543166177695219,0.004134292290919974,0.010073274443590251,0.03123154949078046,0.0076195215869732545,-0.00039463765672095353,-0.001460655728985554,-0.0030078412889199507,4.455686002284706e-06,0.002567910923994948,-8.573649917314052e-06,-0.004846959777563971,0.0114377920445324,0.0014289972423944927
