,Rs,adjRs,Intercept,C(RACE)[T.2.0],C(RACE)[T.3.0],C(SEX)[T.2.0],C(MARITAL)[T.2.0],C(MARITAL)[T.3.0],C(MARITAL)[T.4.0],C(MARITAL)[T.5.0],C(REGION)[T.2.0],C(REGION)[T.3.0],C(REGION)[T.4.0],C(REGION)[T.5.0],C(REGION)[T.6.0],C(REGION)[T.7.0],C(REGION)[T.8.0],C(REGION)[T.9.0],AGE,FUND,SIZE
ATTEND,0.1220366317400774,0.11672101094334741,4.898170825046131,0.446551695002607,0.8009870806043144,0.5820288192556351,-0.25751078222436646,-0.6234914945779415,-0.63254784573141,-0.6311284562988345,-0.1619232769290283,-0.29462015328046476,0.0122272307148669,-0.2504037701648824,0.14193663393365452,0.08234123426161316,-0.905411678624313,-1.0490307552045373,0.011753191478633998,-0.7534628025304771,-8.786153726867995e-05
MEMCHURH,0.011092723499765977,0.005105393874134001,1.679884932668648,-0.009849589032443722,-0.00018198672081820038,-0.008308598622854352,0.01762631465945562,0.015315799881604556,0.02693936912297748,0.013004164758831333,0.01580525094268344,0.009629721750282212,0.005200909862022181,0.004693533871721105,0.004168007954635506,-0.030714667086383818,0.003904948003702899,0.013429670244525673,-0.0007009979136508979,0.006490566628373986,-1.3465784764322469e-07
RELITEN,0.2010294899680426,0.19619213067420638,1.310134821882121,-0.0017824340758697604,-0.09499343205301632,-0.13832272750276128,0.11141574417756336,0.16679544944802746,0.21043545487651177,0.09239864759332488,0.05641532418917898,0.1935198217136407,0.11924202722678623,0.13730733234994066,0.1779981558047983,0.16824513318921014,0.3535885325565456,0.3381448582111847,-0.009396643632128806,0.45176700068886083,1.2225086537751795e-05
