,Rs,adjRs,Intercept,C(SEX)[T.2.0],C(MARITAL)[T.2.0],C(MARITAL)[T.3.0],C(MARITAL)[T.4.0],C(MARITAL)[T.5.0],C(SPWRKSTA)[T.2.0],C(SPWRKSTA)[T.3.0],C(SPWRKSTA)[T.4.0],C(SPWRKSTA)[T.5.0],C(SPWRKSTA)[T.6.0],C(SPWRKSTA)[T.7.0],C(SPWRKSTA)[T.8.0],INCOME,PRESTIGE,EDUC,AGE,HRS1
FECOLOP,0.015394989354840294,0.004353904143120091,2.893690143686011,0.05954436554331575,-0.05457774141343538,0.02748302913208382,-0.09666309839450096,0.02494324074231405,0.007362280631950078,-0.06428284102899465,-0.07374932024273737,-0.04831372560864002,0.0050106346882677335,-0.020260887369864075,0.12967830958228196,-0.0030521906445609526,-0.0004644604528775686,0.0031418866268660816,0.001092197997751176,0.0010060067617605256
FEJOBOP,0.025460245439956397,0.01453202919488994,2.905021664104371,0.06477056662929194,-0.0699807051484777,0.05686527679315284,-0.04560026898684194,0.06253111118007086,0.04124430148610957,0.04156407823659827,0.035789476356406516,0.013198290373779054,-0.04040170883514727,0.0004715687036206638,0.13388377115581845,0.011046560007556014,0.0004202905224000243,0.01575940232632676,0.0020052764546963646,0.002132494729768469
FEINC,0.02586295881746703,0.014939258487583706,3.4999012098049027,0.042467080540955195,-0.048443009753493804,0.021823282368452938,-0.04678219270137467,0.01189776625926029,0.026805545789980085,-0.0704199441767858,0.05360133773436067,-0.02150866093454341,0.09831212831245058,-0.03282401786489166,-0.11958937843299959,0.003200872829475698,0.0018947458512344004,0.009108692217091777,0.002122806172527132,-0.0008127701795042528
FEHLPBUS,0.06119335553158689,0.05066584038913102,2.347520688768482,-0.22157049315906677,-0.04960180397973943,-0.16658183381548358,0.11627889599877438,-0.2016276365583017,0.028793152299729792,-0.12028700684259211,-0.0751499202919193,-0.06074338609174073,0.13298739472821,-0.07209857486071372,0.0794556240262363,0.00347549681025703,0.0010788939935239936,0.02162201865632134,-0.00032608843596895645,0.002090622136195213
FEHLPCOL,0.06409646533657032,0.05360150485551596,2.211041733155005,-0.16744144042869286,0.01276889526319312,-0.08034304704210207,0.040878896581705876,-0.14973989972522925,0.011161474138041546,-0.13795412469517748,-0.03903612492855326,0.030257938598845194,0.10393709902761163,-0.058426607571525443,-0.06732028504824353,0.011863783084521786,0.0006636473365970699,0.0317161257653948,-0.00036723621854937175,0.0014778442912519276
FEHLPJOB,0.07183824927398064,0.0614301029927522,2.8219958498385793,-0.13216834688245618,0.022626712745684743,0.048359788223430705,-0.05609097941165063,-0.10908981161224236,0.04917195555652762,-0.06818715445872452,-0.052866108283684696,0.054540040422628396,0.225295001424962,-0.0617749556588585,-0.11674592736279066,0.018688474270610135,0.0009651322777474903,0.035984682049757244,0.00188919853041221,0.0027605700100553827
