,Rs,adjRs,Intercept,C(RELIG)[T.2.0],C(RELIG)[T.3.0],C(RELIG)[T.4.0],C(RELIG)[T.5.0],C(MEMCHURH)[T.2.0],C(MARITAL)[T.2.0],C(MARITAL)[T.3.0],C(MARITAL)[T.4.0],C(MARITAL)[T.5.0],C(POSTLIFE)[T.2.0],C(REGION)[T.2.0],C(REGION)[T.3.0],C(REGION)[T.4.0],C(REGION)[T.5.0],C(REGION)[T.6.0],C(REGION)[T.7.0],C(REGION)[T.8.0],C(REGION)[T.9.0],C(SEX)[T.2.0],C(RACE)[T.2.0],C(RACE)[T.3.0],"standardize(PRESTIGE, ddof=1)","standardize(ATTEND, ddof=1)","standardize(AGE, ddof=1)","standardize(EDUC, ddof=1)","standardize(INCOME, ddof=1)","standardize(RELITEN, ddof=1)"
XMARSEX,0.05765601492061334,0.040794989342652244,0.13041959138762915,0.008679080583183701,-0.24263310258541212,0.038647695211054,0.050094904786334146,-0.07121502015265956,0.020445727657123967,0.06922906634583914,0.19686330728204077,0.024819195368903528,-0.05217704537846837,-0.10821332575479085,-0.11958559259971949,-0.12944015170207931,-0.13282877524059136,-0.13431693781553167,-0.2676103971555367,0.015248503542118586,0.018883814177686885,-0.006486926980285954,0.10149217936191647,0.049802154823283616,0.0008482929734650296,-0.14611482663814876,-0.03489572728282597,0.09760472042497528,0.011796555150387574,0.05870161102329187
PREMARSX,0.2221619359066339,0.20824435623100712,0.0823094105151265,0.22927449733367644,0.36379934943182113,-0.05677445877196512,0.14641776662764489,-0.082950753604408,0.22574006610164665,0.1822066862735441,0.2924804815835126,0.009384369193184527,0.025881273293504883,-0.12271598335448941,-0.021174136739341744,-0.16718878488940161,-0.042143168000220964,-0.2467477075500369,-0.1192173937181216,-0.25890169117750705,-0.06916780779360157,-0.09390099800245066,0.1690625896952577,-0.12439284037468948,-0.044899579034330436,-0.2805262477602544,-0.2503110276632119,0.0903844500610365,0.07080853654793944,0.06905874884213757
HOMOSEX,0.12926641941395667,0.11368669331997194,0.36822646251632457,-0.020503416262918073,0.6107577994195866,0.27473543230048686,-0.20114540102447784,-0.05225803351316528,-0.13356922228872514,0.11143317708857425,0.04260322316074418,0.19183500557782057,-0.056876717916036976,-0.46375075046279607,-0.4292101721788937,-0.5416125087672043,-0.5201815793105813,-0.78599900342834,-0.5491989250489944,-0.3679815668367178,-0.3652989478362303,0.14878361965536402,0.05375630732860818,-0.1613779815283019,0.01620816329589405,-0.13169141352456346,0.008065146881428703,0.18196429116910837,0.010530017269768913,0.028963792484622816
