,Rs,adjRs,Intercept,C(RACE)[T.2.0],C(RACE)[T.3.0],C(REGION)[T.2.0],C(REGION)[T.3.0],C(REGION)[T.4.0],C(REGION)[T.5.0],C(REGION)[T.6.0],C(REGION)[T.7.0],C(REGION)[T.8.0],C(REGION)[T.9.0],C(SEX)[T.2.0],RACDIS,RACCLOS,AGE,INCOME,PRESTIGE,EDUC,SIZE
RACLIVE,0.05878977461189183,0.04734262322203653,1.5400492104936383,0.03078629483702794,-0.21073675977694978,-0.05320226904751804,0.11882890546314166,0.0441876393394104,0.06507918317335552,-0.016502066885449286,0.03549713100592573,0.17094837716389646,-0.12532636903950012,0.027053766845485525,-0.019506171798114275,-0.017673295147169154,0.0021176024288351173,0.005967665673889179,0.000326129358679663,-0.009155447394750596,-2.2615793643935513e-05
RACMAR,0.22711213891441961,0.2177121514147301,1.777300966157188,0.08758371870837424,0.1279625226678725,-0.0380152774631196,-0.10918517660955625,-0.09733040738094142,-0.27936832787689686,-0.24596257961151516,-0.19661527529445672,-0.13150548702686984,-0.05582941969578748,-0.032796480675819396,-0.012784774752911541,-0.09575997564717985,-0.005606275725854746,0.003018095715556769,0.001955567539285045,0.02873656917710801,8.282284276097648e-06
RACDIN,0.10559048132958426,0.0947125277241333,2.6457433522841876,0.1112620327185324,0.0889093402770557,-0.07753698891136072,-0.12683441033975895,-0.11581088811248115,-0.3477832986644539,-0.5025919230187293,-0.19651611452119985,-0.06043470862585587,0.002172339707452768,0.022675251375177313,-0.020697167517374278,-0.13198337077038405,-0.0034834298140320546,0.005082375435275142,0.0037101583399475856,0.022782602123690866,3.876934854079613e-06
RACPUSH,0.14722992008317748,0.13685839208418915,1.8984361064974884,0.19449496323870058,-0.19573369967064297,-0.23769704482594758,-0.4252714948101046,-0.3216855497281738,-0.572975836782741,-0.7241415181142675,-0.3330887927569224,-0.2579373591194709,-0.2921401885948257,0.1345615631260427,-0.11941639062608027,0.016324337772773187,-0.008052973249837954,0.0007861093255166394,0.008916051452228516,0.051434798521141814,-4.241869836306829e-06
RACSEG,0.13779207066644528,0.12730575801238853,2.9486878795372813,0.23216177232890012,0.2610257293757169,-0.10361358069707206,-0.2800231506642325,0.05321918458316237,-0.5176951803360109,-0.5726805119359953,-0.28438415496184705,-0.15598412401207593,0.042038549959500154,0.04094877994056413,-0.08444687366618643,-0.2286159168800776,-0.009092420225051684,0.016191868913723043,0.0052126488939951195,0.045218076013831314,-3.856669520648092e-05
RACOPEN,,,,,,,,,,,,,,,,,,,,,
RACSCHOL,0.1380489588778595,0.1275657705398875,1.1714563590669185,-0.17807356557966514,0.07039591768741547,0.001055912415468385,0.03717756444469692,0.04978996634863615,0.1844444296433396,0.3138612386903949,0.18929808083053784,0.017811213511936142,-0.011648677769029949,0.012262847750118168,0.01079364562533886,0.020907246020933724,0.0015295951925804478,-0.002985158691633972,-0.0007465370450899253,-0.014146606778586786,4.887560411186198e-06
