,Rs,adjRs,Intercept,C(REGION)[T.2.0],C(REGION)[T.3.0],C(REGION)[T.4.0],C(REGION)[T.5.0],C(REGION)[T.6.0],C(REGION)[T.7.0],C(REGION)[T.8.0],C(REGION)[T.9.0],C(RACE)[T.2.0],C(RACE)[T.3.0],AGE
RACDIN,0.06303087291547305,0.05597634834467935,3.0501589665186293,-0.05418227487048295,-0.15537540325058838,-0.1612903437438169,-0.1966425903235904,-0.33337785892326943,-0.23659619924997344,-0.04514924992952125,0.005317929142521866,0.24554367064054206,-0.028004543776533473,-0.004118622375678778
RACSEG,0.1305114478279502,0.12396499055629218,4.048242814689368,-0.232979001372561,-0.3248136433307723,-0.39089863732415553,-0.5619143123614208,-0.6281017377379253,-0.5496708847372347,-0.0687557752896485,0.04093626352888952,0.4959028848712488,-0.38068522686896666,-0.014410225526096922
RACPUSH,0.10432153762942942,0.0975778941755785,3.214505328131971,-0.20429328750524967,-0.26277989154285475,-0.2234214297316487,-0.3939679554981395,-0.45708700710893346,-0.6065275474384746,-0.1434173659592844,-0.015543619619281392,0.5945522289978801,-0.08611376573371923,-0.01425769448080324
RACMAR,0.16923840052258388,0.16298352195020094,2.171699618391076,-0.0703058624229144,-0.1263329129155069,-0.10166716171598249,-0.2151519981093895,-0.3609536957639592,-0.2736841364936011,-0.03215516166593123,-0.0023082266445078707,0.21271915152999818,-0.018393193107050218,-0.007061967557685358
